PEP_id	TAIR_id	PEP>TAIR_evalue	PEP>TAIR_cover	TAIR>PEP_evalue	TAIR>PEP_cover
SPAC977.16c	AT1G48430.1	3.2997e-94	0.964	9.60849e-108	0.976
SPAC11D3.15	AT5G37830.1	0.0	0.972	0.0	0.985
SPAC5H10.03	AT1G58280.3	1.17474e-15	0.9	2.68242e-16	0.752
SPAC5H10.04	AT1G76690.1	4.30776e-66	0.958	6.95627e-67	0.946
SPAC5H10.08c	AT5G48840.1	6.7128e-60	0.993	1.21348e-60	0.983
SPAC5H10.09c	AT2G46110.1	3.04237e-57	0.978	6.52283e-58	0.772
SPAC13G6.01c	AT5G22750.1	1.524e-153	0.817	3.65152e-154	0.89
SPAC13G6.04	AT5G50810.1	1.87268e-08	0.839	2.47762e-12	0.957
SPAC13G6.06c	AT2G26080.1	0.0	0.96	0.0	0.938
SPAC13G6.07c	AT5G10360.1	8.82818e-89	0.987	1.51904e-89	0.955
SPAC13G6.11c	AT5G27450.3	2.52121e-50	0.814	3.89067e-51	0.891
SPAC13G6.14	AT1G73540.1	2.26368e-16	0.786	3.52863e-17	0.672
SPAC24B11.05	AT3G62040.1	7.3896e-30	0.951	1.34465e-30	0.859
SPAC24B11.06c	AT3G45640.1	7.51202e-119	0.971	1.3136e-119	0.937
SPAC24B11.08c	AT1G36050.2	2.76778e-73	0.985	4.51788e-74	0.96
SPAC24B11.09	AT4G22310.1	2.41277e-26	0.763	3.66622e-27	0.832
SPAC24B11.13	AT5G08280.1	2.0161e-43	0.818	5.17632e-44	0.701
SPAC806.06c	AT5G55810.1	1.90179e-48	0.617	1.94691e-49	0.919
SPAC806.07	AT4G09320.1	7.8418e-58	0.987	1.45226e-58	0.875
